type,style,color,material,shape,details,room_type,price_range,size,prompt
chair,scandinavian,walnut,walnut/concrete,wingback,wingback,living,standard,25x27x31,Scandinavian walnut walnut chair with wingback wingback for living room
table,minimal,sand,birch,rectangular,extendable,office,premium,78x42x28,Minimal sand birch table with extendable for office room
bed,industrial,cream,cotton/velvet,low-profile,storage drawers,bedroom,standard,82x63x28,Industrial cream cotton bed with storage drawers low-profile for bedroom room
chair,art deco,beige,velvet/steel,rectangular,splayed-legs,office,luxury,25x32x36,Art deco beige velvet chair with splayed-legs for office room
wardrobe,scandinavian,brown,marble/pine,rectangular,live-edge,kids,budget,50x24x79,Scandinavian brown marble wardrobe with live-edge for kids room
lamp,modern,olive,metal,slim,task lighting,kids,standard,9x9x18,Modern olive metal lamp with task lighting for kids room
wardrobe,scandinavian,olive,velvet,rectangular,wall-mounted,office,standard,52x26x80,Scandinavian olive velvet wardrobe with wall-mounted for office room
wardrobe,midcentury,navy,aluminum,rectangular,cane panels,studio,budget,63x22x76,Midcentury navy aluminum wardrobe with cane panels for studio room
bed,rustic,cream,iron,low-profile,channel-tufted,studio,premium,83x63x20,Rustic cream iron bed with channel-tufted low-profile for studio room
lamp,modern,gray,pine,slim,storage drawers,living,budget,10x5x23,Modern gray pine lamp with storage drawers for living room
bed,minimal,gray,aluminum/fabric,low-profile,tall headboard,kids,luxury,83x62x19,Minimal gray aluminum bed with tall headboard low-profile for kids room
bed,midcentury,olive,fabric,rectangular,ribbed texture,dining,budget,80x64x33,Midcentury olive fabric bed with ribbed texture for dining room
dresser,coastal,charcoal,bamboo,rectangular,matte finish,office,premium,72x19x33,Coastal charcoal bamboo dresser with matte finish for office room
table,art deco,gray,leather,oval,pedestal-base,dining,budget,61x63x30,Art deco gray leather table with pedestal-base for dining room
bed,contemporary,gray,rattan/leather,low-profile,open shelving,studio,budget,83x61x29,Contemporary gray rattan bed with open shelving low-profile for studio room
table,transitional,oak,pine,square,task lighting,bedroom,budget,52x52x28,Transitional oak pine table with task lighting for bedroom room
dresser,art deco,navy,linen,rectangular,storage drawers,living,premium,71x18x38,Art deco navy linen dresser with storage drawers for living room
bookshelf,rustic,gray,leather/velvet,slim,ribbed texture,office,standard,34x7x83,Rustic gray leather bookshelf with ribbed texture for office room
dresser,transitional,sand,bamboo,rectangular,floating design,bedroom,standard,72x19x32,Transitional sand bamboo dresser with floating design for bedroom room
table,coastal,black,jute/bamboo,square,coffee table,dining,budget,32x32x19,Coastal black jute table with coffee table for dining room
bed,contemporary,brown,steel,rectangular,extendable,bedroom,standard,82x80x30,Contemporary brown steel bed with extendable for bedroom room
table,rustic,black,aluminum,rectangular,coffee table,studio,standard,39x30x17,Rustic black aluminum table with coffee table for studio room
lamp,midcentury,beige,fabric,slim,sectional chaise,bedroom,luxury,11x6x29,Midcentury beige fabric lamp with sectional chaise for bedroom room
bookshelf,rustic,oak,marble/steel,rectangular,glass doors,kids,standard,30x15x70,Rustic oak marble bookshelf with glass doors for kids room
lamp,traditional,black,birch,tall,tall,living,premium,13x14x58,Traditional black birch lamp with tall tall for living room
